service_name,latitude,longitude,service_type,service_icon,last_updated_at_UTC
Allwater Adelaide Services Alliance,-34.9289318999999,138.6036016,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Wingfield SUEZ Biosecurity - Medical Waste Treatment Facility,-34.842116,138.555609,Materials recycling,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-mrf.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=3259908D9CC6B50B9CC974BEBAF9DBF8D4CDFD99,12-Dec-2021 15:14:47
Elizabeth West Service Centre,-34.7104269,138.661396299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Picton Resource Recovery Centre,-33.342901,115.7088761,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Taylors Road Landfill,-38.040725,145.232735,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Central Coast Resource Recovery Centre,-33.4156866,151.3220235,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Landsdale Resource Recovery Park,-31.8000692,115.8471394,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Gold Coast Proskips Construction & Demolition,-28.1053989,153.4203618,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Rhodes,-33.8333003,151.085962099999,Corporate,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-default.svg?h=12&w=12&v=1&d=20201110T233759Z&hash=FF5F218C3EA8E00A801E998158DA95FA0C0B5DC3,12-Dec-2021 15:14:47
Ballarat Service Centre,-37.5285395,143.8441443,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Cairns Advanced Resource Recovery Technology Facility,-16.9454346,145.7610221,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
EarthSure - SUEZ and Ventia Joint Venture,-38.040919,145.232659,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Camden Organic Resource Recovery Facility,-34.088568,150.7673134,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Bibra Lake Service Centre,-32.11245,115.80583,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Belrose Public Drop-off,-33.7161802,151.2154693,Public Drop-off,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-depot-uk.svg?h=12&w=12&v=1&d=20201110T233759Z&hash=9CAF7CCE07C71DCC24C7CEAFAB9A82DC6B99D378,12-Dec-2021 15:14:47
Vales Point PS Water Reclamation plant,-33.1555009,151.5352608,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Busselton Service Centre,-33.6652843999999,115.3446638,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Revesby Quarantine Treatment Faciltiy,-33.9384376,151.0044142,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Belrose Transfer Station,-33.716260,151.215408,Transfer station,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-transferstation-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=B909C1694C98823C25251D30A8885F69B9C5C91D,12-Dec-2021 15:14:47
Bairnsdale Service Centre,-37.839874,147.613612,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
